"id","year","title","category","method_tags","relevance_to_direction","source_url","pdf_file","status"
"RPD","2025","Refined Policy Distillation: From VLA Generalists to RL Experts","VLA-to-RL distillation","teacher-guided RL; student expert policy; sample-efficient exploration","Alternative to plug-in RLT: distill a VLA into a smaller RL expert. Our argument should emphasize keeping the VLA policy and adding post-hoc correction.","https://arxiv.org/abs/2503.05833","pdfs/rpd_vla_to_rl_experts_2503.05833.pdf","downloaded"
"VLAJS","2026","Jump-Start Reinforcement Learning with Vision-Language-Action Regularization","VLA-guided RL","PPO regularization; sparse VLA guidance; annealed imitation","Related to using VLA as a guide rather than final policy. Good baseline for whether plug-in tokens beat simple VLA action regularization.","https://arxiv.org/abs/2604.13733","pdfs/vlajs_2604.13733.pdf","downloaded"
"VLA-RFT","2025","VLA-RFT: Vision-Language-Action Reinforcement Fine-tuning with Verified Rewards in World Simulators","world-model VLA RL","world simulator; verified reward; trajectory-level reward","Competing low-risk alternative to real-world online RL. Useful as related work, but not aligned with single real-arm contribution.","https://arxiv.org/abs/2510.00406","pdfs/vla_rft_2510.00406.pdf","downloaded"
"WORLD-ENV","2025","World-Env: Leveraging World Model as a Virtual Environment for VLA Post-Training","world-model VLA RL","video world simulator; VLM reflector; termination prediction","Shows another route to reduce real interactions. Our work should argue for cheap real-stage correction rather than full virtual simulator.","https://arxiv.org/abs/2509.24948","pdfs/world_env_2509.24948.pdf","downloaded"
"THINKACT","2025","ThinkAct: Vision-Language-Action Reasoning via Reinforced Visual Latent Planning","reasoning VLA","visual latent planning; reinforced reasoning; long horizon","Related to high-level reasoning. Lower priority for single-arm precision unless combined with phase selection.","https://arxiv.org/abs/2507.16815","pdfs/thinkact_2507.16815.pdf","downloaded"
"VLA-R1","2025","VLA-R1: Enhancing Reasoning in Vision-Language-Action Models","reasoning VLA RL","RLVR; GRPO; chain-of-thought; verifiable rewards","Hot R1-style framing. Useful for paper positioning, but the implementation/data requirements may be high.","https://arxiv.org/abs/2510.01623","pdfs/vla_r1_2510.01623.pdf","downloaded"
"FOCUSVLA","2026","FocusVLA: Focused Visual Utilization for Vision-Language-Action Models","visual grounding","task-relevant patches; attention; visual token selection","Relevant to token adaptor design: a plug-in RL token may benefit from selecting task-relevant visual features.","https://arxiv.org/abs/2603.28740","pdfs/focusvla_2603.28740.pdf","downloaded"
"STREAMINGVLA","2026","StreamingVLA: Streaming Vision-Language-Action Model with Action Flow Matching and Adaptive Early Observation","deployment efficiency","streaming execution; action flow matching; adaptive observation","Useful deployment context. Phase-gated residual control should account for latency and action chunk alignment.","https://arxiv.org/abs/2603.28565","pdfs/streamingvla_2603.28565.pdf","downloaded"
"MANIPARENA","2026","ManipArena: Comprehensive Real-world Evaluation of Reasoning-Oriented Generalist Robot Manipulation","evaluation","real-world evaluation; VLA benchmark; reasoning-oriented tasks","Shows evaluation is moving to standardized real-world settings. We should report robust protocol, not demo-only results.","https://arxiv.org/abs/2603.28545","pdfs/maniparena_2603.28545.pdf","downloaded"
"VLA-EVAL","2026","vla-eval: A Unified Evaluation Harness for Vision-Language-Action Models","evaluation","evaluation harness; LIBERO; CALVIN; SimplerEnv; ManiSkill","Useful for simulation sanity checks before real-arm runs and for reproducible baselines.","https://arxiv.org/abs/2603.13966","pdfs/vla_eval_2603.13966.pdf","downloaded"
"ROBOTARENA-INF","2025","RobotArena infinity: Scalable Robot Benchmarking via Real-to-Sim Translation","evaluation","real-to-sim; human feedback; scalable benchmark","Related to evaluating VLA generalization under cost constraints. Not central, but useful for discussion.","https://arxiv.org/abs/2510.23571","pdfs/robotarena_inf_2510.23571.pdf","downloaded"
"IN-RIL","2025","IN-RIL: Interleaved Reinforcement and Imitation Learning for Policy Fine-Tuning","RL+IL stabilization","interleaved IL/RL; gradient separation; sample efficiency","Potential training stabilizer for plug-in residual actor-critic when correction data is available.","https://arxiv.org/abs/2505.10442","pdfs/in_ril_2505.10442.pdf","downloaded"
"RM-RL","2025","RM-RL: Role-Model Reinforcement Learning for Precise Robot Manipulation","real-world precision RL","role-model labels; online+offline; precision manipulation","Precision manipulation with automatic labels. Useful competitor for correction label design.","https://arxiv.org/abs/2510.15189","pdfs/rm_rl_2510.15189.pdf","downloaded"
"IRL-VLA","2025","IRL-VLA: Training a Vision-Language-Action Policy via Reward World Model","reward/world model","inverse RL; reward world model; closed-loop driving","Lower relevance because it is autonomous driving, but useful for reward-world-model framing.","https://arxiv.org/abs/2508.06571","pdfs/irl_vla_2508.06571.pdf","downloaded"
"RYNNVLA002","2025","RynnVLA-002: A Unified Vision-Language-Action and World Model","world model VLA","unified VLA and world model; future prediction","Useful related work for future-looking tokens, but likely too broad for this project.","https://arxiv.org/abs/2511.17502","pdfs/rynnvla002_2511.17502.pdf","downloaded"
"LINGBOT-VLA","2026","LingBot-VLA: Vision-Language-Action Foundation Model for Real World Robot Manipulation","open VLA scaling","20k hours real data; cross-embodiment; open-source stack","Important context: large-scale real data improves VLA, but ordinary labs need post-training methods under small data.","https://arxiv.org/abs/2601.18692","pdfs/lingbot_vla_2601.18692.pdf","downloaded"
"HIL-SERL","2024","Precise and Dexterous Robotic Manipulation via Human-in-the-Loop Reinforcement Learning","real-world RL","human interventions; SERL; sample-efficient online RL","Strong non-VLA baseline for using interventions in real-robot RL. Correction advantage should compare against this family.","https://arxiv.org/abs/2410.21845","pdfs/hil_serl_2410.21845.pdf","downloaded"
"OCTO","2024","Octo: An Open-Source Generalist Robot Policy","open-source generalist policy","transformer policy; Open X-Embodiment; generalist robot policy","Background baseline and possible non-VLA policy comparison.","https://arxiv.org/abs/2405.12213","pdfs/octo_2405.12213.pdf","downloaded"
"OPENX","2023","Open X-Embodiment: Robotic Learning Datasets and RT-X Models","dataset/foundation","cross-embodiment dataset; RT-X; robot data scaling","Foundational dataset reference for VLA pretraining and cross-embodiment context.","https://arxiv.org/abs/2310.08864","pdfs/open_x_embodiment_2310.08864.pdf","downloaded"
